FS_WITH_BEST_MCC	10
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	0.94165492899532599	0.92189134742322965	0.96118209213951855	1.0	1.0	1.0	0.94000000000000017	0.92000000000000015	0.96000000000000019	0.94333333333333358	0.92380952380952375	0.96238095238095267	1.0	1.0	1.0	1.0	1.0	1.0	0.96833333333333327	0.95757575757575741	0.978939393939394	inf	inf	inf	inf
2	0.94165492899532599	0.92189134742322965	0.96118209213951855	1.0	1.0	1.0	0.94000000000000017	0.92000000000000015	0.96000000000000019	0.94333333333333358	0.92380952380952375	0.96238095238095267	1.0	1.0	1.0	1.0	1.0	1.0	0.96833333333333327	0.95757575757575741	0.978939393939394	inf	inf	inf	inf
3	0.93569265861007667	0.91330013998606419	0.95784389980389162	1.0	1.0	1.0	0.93333333333333346	0.91000000000000014	0.95666666666666667	0.93809523809523809	0.91666666666666652	0.95904761904761882	1.0	1.0	1.0	1.0	1.0	1.0	0.96484848484848473	0.95242424242424217	0.97696969696969671	inf	inf	inf	inf
4	0.94235932527674338	0.92019836607834127	0.96427900704494807	1.0	1.0	1.0	0.94000000000000017	0.91666666666666685	0.96333333333333337	0.94476190476190491	0.92380952380952353	0.96523809523809534	1.0	1.0	1.0	1.0	1.0	1.0	0.96848484848484828	0.95606060606060561	0.98060606060606048	inf	inf	inf	inf
5	0.94855315508760252	0.926165495465884	0.97094081470932114	1.0	1.0	1.0	0.94666666666666677	0.92333333333333356	0.96999999999999997	0.95047619047619047	0.92904761904761923	0.97190476190476172	1.0	1.0	1.0	1.0	1.0	1.0	0.97181818181818169	0.95939393939393913	0.98409090909090891	inf	inf	inf	inf
6	0.94855315508760252	0.926165495465884	0.97094081470932114	1.0	1.0	1.0	0.94666666666666677	0.92333333333333356	0.96999999999999997	0.95047619047619047	0.92904761904761923	0.97190476190476172	1.0	1.0	1.0	1.0	1.0	1.0	0.97181818181818169	0.95939393939393913	0.98409090909090891	inf	inf	inf	inf
7	0.95131341732497221	0.93249550946449034	0.97094567371161489	0.996	0.98799999999999988	1.0	0.95333333333333348	0.93333333333333357	0.97333333333333338	0.95619047619047626	0.93809523809523798	0.97523809523809502	0.99714285714285722	0.99142857142857144	1.0	1.0	1.0	1.0	0.97363636363636341	0.96348484848484828	0.98424242424242425	inf	inf	inf	5086.7142857142971
8	0.961313417324972	0.94249550946449034	0.98023641842790366	0.996	0.98799999999999988	1.0	0.96333333333333337	0.94333333333333358	0.98000000000000009	0.96619047619047616	0.9480952380952381	0.98190476190476172	0.99714285714285722	0.99142857142857144	1.0	1.0	1.0	1.0	0.9790909090909089	0.96893939393939366	0.98924242424242426	inf	inf	inf	6541.9090909090928
9	0.95821650241954248	0.93874180316135669	0.97716573546547736	0.9926666666666667	0.98066666666666658	1.0	0.96333333333333337	0.94333333333333358	0.98000000000000009	0.96619047619047616	0.9480952380952381	0.98190476190476172	0.99428571428571433	0.98571428571428554	1.0	1.0	1.0	1.0	0.9774242424242422	0.9671212121212116	0.98772727272727268	inf	inf	inf	3556.3719008264652
10	0.99086681241216809	0.94136588121097864	0.98015755712845687	0.98799999999999999	0.97199999999999986	1.0	0.9700000000000002	0.95333333333333348	0.98666666666666669	0.97238095238095223	0.95619047619047626	0.98761904761904773	0.99142857142857144	0.97999999999999998	1.0	1.0	1.0	1.0	0.97893939393939378	0.96848484848484817	0.98939393939393927	inf	inf	inf	2662.1111111111268
