merged0	Unassigned:Other
merged1	k__Bacteria:p__Actinobacteria
merged2	k__Bacteria:p__Bacteroidetes
merged3	k__Bacteria:p__Cyanobacteria
merged4	k__Bacteria:p__Firmicutes
merged5	k__Bacteria:p__Fusobacteria
merged6	k__Bacteria:p__Lentisphaerae
merged7	k__Bacteria:p__Proteobacteria
merged8	k__Bacteria:p__Synergistetes
merged9	k__Bacteria:p__TM7
merged10	k__Bacteria:p__Tenericutes
merged11	k__Bacteria:p__Verrucomicrobia
merged12	Unassigned:Other:Other
merged13	k__Bacteria:p__Actinobacteria:c__Actinobacteria
merged14	k__Bacteria:p__Actinobacteria:c__Coriobacteriia
merged15	k__Bacteria:p__Bacteroidetes:c__Bacteroidia
merged18	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]
merged19	k__Bacteria:p__Cyanobacteria:c__4C0d-2
merged21	k__Bacteria:p__Firmicutes:Other
merged22	k__Bacteria:p__Firmicutes:c__Bacilli
merged23	k__Bacteria:p__Firmicutes:c__Clostridia
merged24	k__Bacteria:p__Firmicutes:c__Erysipelotrichi
merged25	k__Bacteria:p__Fusobacteria:c__Fusobacteriia
merged26	k__Bacteria:p__Lentisphaerae:c__[Lentisphaeria]
merged27	k__Bacteria:p__Proteobacteria:c__Alphaproteobacteria
merged28	k__Bacteria:p__Proteobacteria:c__Betaproteobacteria
merged29	k__Bacteria:p__Proteobacteria:c__Deltaproteobacteria
merged30	k__Bacteria:p__Proteobacteria:c__Epsilonproteobacteria
merged31	k__Bacteria:p__Proteobacteria:c__Gammaproteobacteria
merged32	k__Bacteria:p__Synergistetes:c__Synergistia
merged33	k__Bacteria:p__TM7:c__TM7-3
merged34	k__Bacteria:p__Tenericutes:c__Mollicutes
merged37	k__Bacteria:p__Verrucomicrobia:c__Verrucomicrobiae
merged38	Unassigned:Other:Other:Other
merged39	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales
merged40	k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Bifidobacteriales
merged41	k__Bacteria:p__Actinobacteria:c__Coriobacteriia:o__Coriobacteriales
merged42	k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales
merged45	k__Bacteria:p__Bacteroidetes:c__[Saprospirae]:o__[Saprospirales]
merged46	k__Bacteria:p__Cyanobacteria:c__4C0d-2:o__YS2
merged48	k__Bacteria:p__Firmicutes:Other:Other
merged50	k__Bacteria:p__Firmicutes:c__Bacilli:o__Bacillales
merged51	k__Bacteria:p__Firmicutes:c__Bacilli:o__Gemellales
merged52	k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales
merged53	k__Bacteria:p__Firmicutes:c__Bacilli:o__Turicibacterales
merged55	k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales
merged56	k__Bacteria:p__Firmicutes:c__Clostridia:o__SHA-98
merged57	k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales
merged58	k__Bacteria:p__Fusobacteria:c__Fusobacteriia:o__Fusobacteriales
