FEATURE_ID	FEATURE_NAME	MEAN_POS	MEDIAN_ALL	MEDIAN_0	MEDIAN_1	FOLD_CHANGE	LOG2_FOLD_CHANGE
1	testKevin68	2.0	0.40000000000000002	0.25	0.69999999999999996	2.7999999999999998	1.4854268271702415
2	testKevin156	2.2400000000000002	0.40000000000000002	0.25	0.69999999999999996	2.7999999999999998	1.4854268271702415
3	testKevin556	3.4199999999999999	0.0	0.0	0.10000000000000001	inf	inf
4	testKevin461	4.5199999999999996	0.20000000000000001	0.10000000000000001	0.5	5.0	2.3219280948873622
5	testKevin260	5.5199999999999996	0.20000000000000001	0.10000000000000001	0.5	5.0	2.3219280948873622
6	testKevin8	6.1399999999999997	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
7	testKevin50	6.54	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
8	testKevin126	7.1200000000000001	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
9	testKevin11	7.5999999999999996	0.40000000000000002	0.29999999999999999	0.69999999999999996	2.3333333333333335	1.2223924213364481
10	testKevin321	10.6	0.20000000000000001	0.10000000000000001	0.29999999999999999	2.9999999999999996	1.5849625007211561
